Task Name,Status,Priority,Description,Implementation Details,Acceptance Criteria
"Phase 1 - Split Workflow Editor Palette Config","Completed","High","Split the oversized workflow editor node palette config into focused node/config files while preserving the existing public import path.","Original issue: workflow-editor-palette.config.ts was around 2224 lines. Implemented workflow-nodes folder with focused files: workflow-node.types.ts, workflow-node-fields.config.ts, workflow-node-registry.config.ts, core.nodes.ts, form-action.nodes.ts, scheduler.nodes.ts, notification.nodes.ts, data.nodes.ts, integration.nodes.ts, event.nodes.ts, function.nodes.ts, logic.nodes.ts, page-builder.nodes.ts, palette-groups.config.ts, and index.ts. workflow-editor-palette.config.ts now acts as the public assembler/export entry so existing imports remain stable.","Palette behavior remains unchanged. Form Actions and Scheduler palettes still render expected working nodes. Builder build passes. Existing imports do not break."
"Phase 2 - Extract Workflow Editor Graph and Node Logic","Completed","High","Reduce workflow-editor.component.ts by moving graph, node creation, node view, and node command logic into services.","Created focused services: workflow-editor-graph.service.ts, workflow-editor-node-factory.service.ts, workflow-editor-node-view.service.ts, and workflow-editor-node-commands.service.ts. Component now delegates node creation, coordinate handling, view model helpers, duplicate/delete/move operations, and graph mutation responsibilities instead of owning all logic directly.","Workflow editor component remains functional. Drag/drop node creation, node selection, node movement, duplicate, delete, and config panel selection continue working. Builder tests pass."
"Phase 3 - Extract Canvas, Palette, Run, Persistence, Loader, and Navigation Logic","Completed","High","Move workflow editor UI orchestration concerns out of the component into focused services.","Created services: workflow-editor-canvas-interaction.service.ts, workflow-editor-palette.service.ts, workflow-editor-run.service.ts, workflow-editor-persistence.service.ts, workflow-editor-loader.service.ts, and workflow-editor-navigation.service.ts. These handle canvas drag behavior, palette filtering/grouping, test run preview, save state handling, workflow loading, and navigation decisions.","Workflow editor component is reduced to UI state coordination. Validate, Test Run, Save, navigation protection, palette interaction, and workflow loading continue to work. Build and tests pass."
"Phase 4 - Extract Workflow Connection Logic","Completed","High","Move edge/connection behavior out of workflow-editor.component.ts into a dedicated connection service.","Created workflow-editor-connection.service.ts. Moved connection start/end checks, connection validation, path generation, source/target linking, connection state transitions, and related helper behavior out of the component.","Users can connect nodes on the canvas. Invalid connection flows are handled cleanly. Existing edge rendering still works. Build and tests pass."
"Phase 5 - Split Workflow Editor SCSS","Completed","Medium","Split the large workflow-editor.component.scss file into focused SCSS partials.","Main workflow-editor.component.scss now imports partials only. Created _workflow-editor-foundation.scss, _workflow-editor-sidebar.scss, _workflow-editor-workspace.scss, _workflow-editor-canvas.scss, _workflow-editor-nodes.scss, _workflow-editor-overlays.scss, and _workflow-editor-responsive.scss. Cascade order was preserved during the split.","Workflow editor styling remains unchanged visually. Main SCSS file is easy to scan. Builder build passes. Tests pass with 93 SUCCESS."
"Phase 6 - Split Workflow Editor HTML Template","Completed","Medium","Split workflow-editor.component.html into smaller presentational components because it was above the recommended template warning zone.","Implemented standalone presentational components under containers/workflow-editor/components: workflow-editor-sidebar, workflow-editor-topbar, workflow-editor-feedback-panel, workflow-editor-run-preview, and workflow-editor-zoom-controls. Kept the actual canvas DOM in the parent component to preserve the existing workflowCanvas viewChild, pointer math, drag/drop, edge rendering, and node positioning behavior.","Template is reduced from around 334 lines to around 200 lines. Presentational components are reusable and easy to test. No UI regressions expected in toolbar, palette, canvas, config panel, validation feedback, zoom controls, or test-run preview. Builder build passes."
"Phase 7 - Split Workflow Builder Facade by Domain","Pending","Medium","Reduce workflow-builder-facade.service.ts by delegating domain-specific operations to focused domain services.","Current workflow-builder-facade.service.ts is around 598 lines. Suggested services: workflow-form-actions.service.ts, workflow-schedules.service.ts, workflow-events.service.ts, workflow-action-buttons.service.ts, and workflow-functions-domain.service.ts. Facade should remain the public API for containers but delegate detailed operations.","Facade becomes a coordinator rather than a large domain service. Public component API remains stable. Form Actions, Scheduler, Events, Action Buttons, and Functions pages continue working."
"Phase 8 - Split Workflow Node Config Panel","Pending","Medium","Reduce workflow-node-config-panel.component.ts by extracting field rendering, option generation, and normalization helpers.","Current workflow-node-config-panel.component.ts is around 482 lines. Suggested helpers/services: workflow-node-field-renderer.service.ts, workflow-node-field-options.service.ts, and workflow-node-field-normalizer.service.ts. Keep the component focused on UI binding and change events.","Config panel remains fully functional for Form Actions and Scheduler nodes. Field rendering logic is easier to test. Component line count drops into a healthier range."
"Phase 9 - Add Unit Tests for Extracted Workflow Editor Services","Pending","High","Add focused unit tests for the new service layer created during the refactor.","Target services: workflow-editor-graph.service.ts, workflow-editor-node-factory.service.ts, workflow-editor-node-view.service.ts, workflow-editor-canvas-interaction.service.ts, workflow-editor-connection.service.ts, workflow-editor-run.service.ts, workflow-editor-persistence.service.ts, workflow-editor-loader.service.ts, workflow-editor-navigation.service.ts, workflow-editor-palette.service.ts, and workflow-editor-node-commands.service.ts.","Service tests cover happy paths and key edge cases. Existing builder tests remain passing. Regression risk from refactor is reduced."
"Phase 10 - Backend API Integration for Production Save/Test/Validate","Pending","High","Replace or wire mock/in-memory frontend workflow behavior to real backend contracts for production readiness.","Current UI is production-ready from the frontend interaction perspective, but final production readiness depends on backend persistence/execution APIs. Wire Save, Validate, and Test Run flows to real API contracts once backend endpoints are available.","Save persists workflow definitions to backend. Validate returns backend-backed validation results. Test Run executes or simulates through the approved backend flow. Error states are handled in UI."
"Phase 11 - Final UX and Accessibility Hardening","Pending","Medium","Perform final pass on usability, accessibility, empty states, error states, and responsive behavior.","Check keyboard navigation, focus states, dialog accessibility, drag/drop fallback states, empty canvas states, invalid node feedback, save errors, test-run errors, and narrow viewport behavior.","Workflow Builder is usable and stable across supported screen sizes. Dialogs and panels have sensible focus behavior. Error and empty states are clear."
"Phase 12 - Update Architecture and UI Documentation","Pending","Low","Document the refactored workflow builder structure and phase-ready UI capabilities.","Update docs to describe extracted services, palette config structure, SCSS partial structure, Workflow Builder ready functionality, remaining backend/API dependency, and testing status.","Docs explain where to add new nodes, where to edit canvas behavior, where save/test/run logic lives, and what remains for production API integration."
